payroll_id,employee_id,pay_period,gross_pay,deductions,net_pay,overtime_hours
66,66,2026-02-28,6695.25,1588.2,5107.05,0
67,67,2026-02-28,4909.92,1194.15,3715.77,0
68,68,2026-02-28,6254.33,1291.6,4962.73,0
69,69,2026-02-28,5452.0,1197.61,4254.39,0
70,70,2026-02-28,4193.58,1015.9,3177.69,0
71,71,2026-02-28,5451.67,1203.31,4248.35,0
72,72,2026-02-28,7246.99,1526.73,5720.26,5
73,73,2026-02-28,4955.17,953.44,4001.73,0
74,74,2026-02-28,8259.95,2052.47,6207.49,20
75,75,2026-02-28,2617.19,633.58,1983.61,5
76,76,2026-02-28,6027.33,1428.42,4598.92,0
77,77,2026-02-28,5587.7,868.75,4718.94,10
78,78,2026-02-28,4626.17,848.99,3777.17,0
79,79,2026-02-28,5114.67,1177.83,3936.83,0
80,80,2026-02-28,2515.5,461.22,2054.28,0
81,81,2026-02-28,4725.33,896.95,3828.39,0
82,82,2026-02-28,5446.33,1109.63,4336.7,0
83,83,2026-02-28,7489.27,1675.73,5813.55,10
84,84,2026-02-28,4556.09,889.55,3666.54,5
85,85,2026-02-28,3989.33,654.59,3334.74,0
86,86,2026-02-28,4577.72,878.43,3699.29,5
87,87,2026-02-28,7008.29,1060.42,5947.87,15
88,88,2026-02-28,5664.55,1394.09,4270.47,5
89,89,2026-02-28,4337.75,715.15,3622.6,0
90,90,2026-02-28,5641.58,1080.15,4561.43,0
91,91,2026-02-28,5121.33,811.91,4309.42,0
92,92,2026-02-28,6210.75,1550.75,4660.0,0
93,93,2026-02-28,4122.42,825.39,3297.03,0
94,94,2026-02-28,4805.59,1081.24,3724.35,5
95,95,2026-02-28,4932.63,833.95,4098.68,10
96,96,2026-02-28,3170.58,625.26,2545.32,0
97,97,2026-02-28,5621.81,1279.26,4342.55,5
98,98,2026-02-28,5825.59,1107.31,4718.28,10
99,99,2026-02-28,5006.33,1031.12,3975.21,0
100,100,2026-02-28,4927.38,1163.74,3763.64,5
101,101,2026-02-28,3230.75,790.28,2440.47,0
102,102,2026-02-28,4474.17,838.15,3636.02,0
103,103,2026-02-28,4571.58,809.51,3762.07,0
104,104,2026-02-28,3997.08,856.97,3140.11,0
105,105,2026-02-28,5023.26,831.93,4191.33,5
106,106,2026-02-28,5505.0,1219.89,4285.11,0
107,107,2026-02-28,7357.67,1588.46,5769.2,0
108,108,2026-02-28,5218.17,796.86,4421.3,0
109,109,2026-02-28,5321.92,916.42,4405.5,0
110,110,2026-02-28,4906.92,849.42,4057.49,0
111,111,2026-02-28,2723.45,436.87,2286.58,5
112,112,2026-02-28,4966.83,1142.33,3824.5,0
113,113,2026-02-28,5313.15,923.52,4389.63,5
114,114,2026-02-28,8079.0,1292.19,6786.81,0
115,115,2026-02-28,5428.8,1029.94,4398.86,15
116,116,2026-02-28,5376.92,1165.76,4211.16,0
117,117,2026-02-28,5188.92,1243.44,3945.48,5
118,118,2026-02-28,3539.08,535.46,3003.62,0
119,119,2026-02-28,6428.5,1097.91,5330.59,0
120,120,2026-02-28,5939.83,906.73,5033.1,0
121,121,2026-02-28,5988.75,1006.97,4981.78,0
122,122,2026-02-28,4587.61,807.15,3780.45,20
123,123,2026-02-28,6753.42,1269.43,5483.98,0
124,124,2026-02-28,3247.67,678.86,2568.81,0
125,125,2026-02-28,5733.5,1013.72,4719.78,0
126,126,2026-02-28,8826.16,1583.82,7242.33,15
127,127,2026-02-28,3761.75,921.05,2840.7,0
128,128,2026-02-28,4292.08,971.56,3320.52,0
129,129,2026-02-28,5124.5,840.48,4284.02,0
130,130,2026-02-28,4370.58,1035.16,3335.42,0
131,131,2026-02-28,3635.73,643.04,2992.69,20
132,132,2026-02-28,5085.67,1038.31,4047.36,0
133,133,2026-02-28,3672.08,783.43,2888.65,0
134,134,2026-02-28,5591.92,983.0,4608.92,0
135,135,2026-02-28,3850.67,631.26,3219.41,0
136,136,2026-02-28,7912.99,1402.43,6510.57,15
137,137,2026-02-28,4020.92,970.77,3050.15,0
138,138,2026-02-28,4597.42,954.66,3642.76,0
139,139,2026-02-28,6016.83,1067.42,4949.41,0
140,140,2026-02-28,3461.42,711.04,2750.38,0
141,141,2026-02-28,5284.25,1136.86,4147.39,0
142,142,2026-02-28,7255.85,1187.7,6068.15,10
143,143,2026-02-28,2990.58,717.75,2272.84,0
144,144,2026-02-28,6211.52,1499.72,4711.8,20
145,145,2026-02-28,5324.83,1021.71,4303.12,0
146,146,2026-02-28,6537.62,1089.35,5448.26,10
147,147,2026-02-28,3453.75,772.96,2680.79,0
148,148,2026-02-28,3349.42,530.15,2819.27,0
149,149,2026-02-28,6182.33,1105.83,5076.5,10
150,150,2026-02-28,5371.17,996.71,4374.45,0
151,151,2026-02-28,5313.08,1179.0,4134.09,15
152,152,2026-02-28,5433.0,976.38,4456.62,0
153,153,2026-02-28,4149.92,857.54,3292.38,0
154,154,2026-02-28,6282.17,961.92,5320.26,20
155,155,2026-02-28,5869.43,1171.75,4697.67,10
156,156,2026-02-28,4107.0,861.17,3245.83,0
157,157,2026-02-28,7332.17,1344.9,5987.27,0
158,158,2026-02-28,5592.25,1269.95,4322.3,0
159,159,2026-02-28,3510.83,564.05,2946.78,0
160,160,2026-02-28,5820.67,916.84,4903.83,0
161,161,2026-02-28,3781.58,842.61,2938.98,0
162,162,2026-02-28,5983.83,1194.07,4789.76,0
163,163,2026-02-28,6448.17,1411.12,5037.05,0
164,164,2026-02-28,3974.08,768.92,3205.17,0
165,165,2026-02-28,6204.17,1083.5,5120.67,0
166,166,2026-02-28,5515.92,1279.2,4236.72,0
167,167,2026-02-28,6875.12,1279.44,5595.68,15
168,168,2026-02-28,7370.92,1173.14,6197.77,0
169,169,2026-02-28,4693.25,1134.51,3558.74,0
170,170,2026-02-28,4057.75,664.18,3393.57,0
171,171,2026-02-28,3888.08,952.67,2935.41,0
172,172,2026-02-28,3980.17,774.54,3205.62,0
173,173,2026-02-28,4903.58,826.32,4077.26,0
174,174,2026-02-28,6698.23,1573.55,5124.69,25
175,175,2026-02-28,5596.42,963.26,4633.16,5
176,176,2026-02-28,6033.92,1501.04,4532.88,0
177,177,2026-02-28,5251.39,1158.23,4093.15,5
178,178,2026-02-28,6816.92,1653.27,5163.65,0
179,179,2026-02-28,4669.17,784.69,3884.48,0
180,180,2026-02-28,8400.17,1737.11,6663.06,0
181,181,2026-02-28,6053.12,1330.12,4722.99,5
182,182,2026-02-28,3928.5,706.09,3222.41,0
183,183,2026-02-28,3661.33,887.65,2773.68,0
184,184,2026-02-28,6916.31,1610.75,5305.56,25
185,185,2026-02-28,4720.67,725.57,3995.1,0
186,186,2026-02-28,5892.5,1235.23,4657.27,0
187,187,2026-02-28,5591.5,967.33,4624.17,0
188,188,2026-02-28,4908.92,795.52,4113.39,0
189,189,2026-02-28,3941.5,621.56,3319.94,0
190,190,2026-02-28,3106.42,682.26,2424.16,0
191,191,2026-02-28,4441.83,817.24,3624.59,0
192,192,2026-02-28,6070.42,1350.53,4719.89,0
193,193,2026-02-28,5267.58,824.56,4443.02,0
194,194,2026-02-28,3442.75,624.96,2817.79,0
195,195,2026-02-28,5949.98,1419.65,4530.32,15
196,196,2026-02-28,5481.58,1159.83,4321.76,0
197,197,2026-02-28,3895.17,675.02,3220.15,0
198,198,2026-02-28,5192.08,791.48,4400.6,0
199,199,2026-02-28,5072.75,1202.29,3870.46,0
200,200,2026-02-28,3571.25,543.28,3027.97,0
201,201,2026-02-28,5447.17,1293.54,4153.63,0
202,202,2026-02-28,5700.92,1156.68,4544.24,0
203,203,2026-02-28,6353.75,1549.72,4804.03,0
204,204,2026-02-28,7501.73,1485.25,6016.48,20
205,205,2026-02-28,3277.83,697.36,2580.47,0
206,206,2026-02-28,3827.67,908.56,2919.1,0
207,207,2026-02-28,5643.75,1401.95,4241.8,0
208,208,2026-02-28,5642.17,1279.8,4362.37,0
209,209,2026-02-28,5643.75,1082.34,4561.41,0
210,210,2026-02-28,9815.83,1885.97,7929.86,0
211,211,2026-02-28,5713.58,1278.46,4435.12,0
212,212,2026-02-28,6419.42,1116.19,5303.22,0
213,213,2026-02-28,6192.5,997.29,5195.21,0
214,214,2026-02-28,6086.71,1093.36,4993.35,5
215,215,2026-02-28,4605.83,798.47,3807.36,0
216,216,2026-02-28,5948.67,917.34,5031.33,0
217,217,2026-02-28,4033.92,612.3,3421.62,0
218,218,2026-02-28,4703.92,1170.2,3533.71,0
219,219,2026-02-28,4393.25,846.92,3546.33,0
220,220,2026-02-28,5580.68,1367.24,4213.43,10
221,221,2026-02-28,7893.25,1804.67,6088.58,0
222,222,2026-02-28,2665.92,511.21,2154.71,0
223,223,2026-02-28,6956.08,1732.88,5223.2,20
224,224,2026-02-28,2984.08,516.75,2467.34,0
225,225,2026-02-28,4410.08,1077.27,3332.82,0
226,226,2026-02-28,7255.71,1216.44,6039.27,15
227,227,2026-02-28,5080.33,874.06,4206.27,0
228,228,2026-02-28,3652.75,616.01,3036.74,0
229,229,2026-02-28,4490.76,1108.81,3381.94,10
230,230,2026-02-28,5849.42,1394.38,4455.04,0
231,231,2026-02-28,4661.73,1052.73,3609.0,15
232,232,2026-02-28,5517.55,1277.77,4239.78,5
233,233,2026-02-28,5056.92,872.04,4184.88,0
234,234,2026-02-28,4185.42,721.49,3463.93,0
235,235,2026-02-28,7679.92,1564.38,6115.54,0
236,236,2026-02-28,6335.36,1506.21,4829.16,10
237,237,2026-02-28,2500.0,441.4,2058.6,0
238,238,2026-02-28,5233.0,852.73,4380.27,0
239,239,2026-02-28,4172.75,996.76,3175.99,0
240,240,2026-02-28,6065.5,1489.48,4576.02,0
241,241,2026-02-28,4761.08,908.63,3852.45,20
242,242,2026-02-28,4856.5,909.47,3947.03,0
243,243,2026-02-28,6159.09,973.78,5185.31,10
244,244,2026-02-28,6082.17,1046.24,5035.92,0
245,245,2026-02-28,3499.58,764.05,2735.53,0
246,246,2026-02-28,4581.83,722.16,3859.68,0
247,247,2026-02-28,4406.25,1036.0,3370.25,0
248,248,2026-02-28,4183.33,834.64,3348.7,0
249,249,2026-02-28,8220.2,1790.37,6429.83,15
250,250,2026-02-28,5506.17,1137.43,4368.74,0
251,251,2026-02-28,3905.31,917.98,2987.33,15
252,252,2026-02-28,6147.25,1455.23,4692.02,0
253,253,2026-02-28,7652.67,1689.99,5962.68,0
254,254,2026-02-28,6290.5,1470.1,4820.4,0
255,255,2026-02-28,3100.75,681.38,2419.37,0
256,256,2026-02-28,4394.67,958.1,3436.57,0
257,257,2026-02-28,6583.58,1394.81,5188.78,0
258,258,2026-02-28,4308.24,1025.74,3282.5,5
259,259,2026-02-28,5815.13,1352.49,4462.64,5
260,260,2026-02-28,5968.25,972.15,4996.1,0
261,261,2026-02-28,3841.33,704.93,3136.4,0
262,262,2026-02-28,4925.58,1105.06,3820.52,0
263,263,2026-02-28,2500.0,415.19,2084.81,0
264,264,2026-02-28,3719.5,862.17,2857.33,0
265,265,2026-02-28,4684.25,1092.43,3591.82,0
266,266,2026-02-28,3601.51,643.6,2957.91,5
267,267,2026-02-28,7040.5,1490.42,5550.08,0
268,268,2026-02-28,3663.97,747.45,2916.53,15
269,269,2026-02-28,4449.92,1014.51,3435.4,0
270,270,2026-02-28,5163.42,829.75,4333.67,0
271,271,2026-02-28,6801.58,1537.86,5263.73,0
272,272,2026-02-28,3205.17,654.26,2550.91,0
273,273,2026-02-28,6453.92,1589.59,4864.32,0
274,274,2026-02-28,5717.67,1393.53,4324.14,15
275,275,2026-02-28,3773.08,825.51,2947.58,0
276,276,2026-02-28,5577.58,1004.5,4573.08,0
277,277,2026-02-28,5248.75,1159.01,4089.74,0
278,278,2026-02-28,4249.67,666.07,3583.59,0
279,279,2026-02-28,5087.25,1059.25,4028.0,0
280,280,2026-02-28,4518.33,834.03,3684.3,0
281,281,2026-02-28,5141.83,1090.54,4051.29,0
282,282,2026-02-28,5827.58,900.79,4926.79,0
283,283,2026-02-28,6982.5,1655.93,5326.57,0
284,284,2026-02-28,3452.67,854.01,2598.65,0
285,285,2026-02-28,7666.25,1892.7,5773.55,0
286,286,2026-02-28,2559.83,575.87,1983.96,0
287,287,2026-02-28,4810.25,784.11,4026.14,0
288,288,2026-02-28,5735.33,1295.19,4440.14,0
289,289,2026-02-28,5351.17,814.51,4536.65,0
290,290,2026-02-28,4221.58,769.85,3451.73,0
291,291,2026-02-28,4739.83,942.58,3797.25,0
292,292,2026-02-28,4383.67,995.27,3388.4,0
293,293,2026-02-28,4662.93,1164.39,3498.54,10
294,294,2026-02-28,6062.0,1167.65,4894.35,0
295,295,2026-02-28,5701.54,1308.4,4393.15,5
296,296,2026-02-28,4133.83,906.83,3227.0,0
297,297,2026-02-28,6124.42,1053.87,5070.55,0
298,298,2026-02-28,5384.08,851.97,4532.12,0
299,299,2026-02-28,6016.0,1311.79,4704.21,0
300,300,2026-02-28,5787.0,1246.82,4540.18,0
301,301,2026-02-28,0.0,-150.75,0.0,0
302,302,2026-02-28,4299.75,1053.81,3245.94,0
303,303,2026-02-28,6212.24,1518.03,4694.21,5
304,304,2026-02-28,5762.92,1106.32,4656.59,0
305,305,2026-02-28,5440.13,1351.32,4088.81,10
306,306,2026-02-28,5629.08,964.32,4664.76,10
307,307,2026-02-28,6597.0,1010.09,5586.91,0
308,308,2026-02-28,4260.5,916.72,3343.78,0
309,309,2026-02-28,5683.83,1062.04,4621.79,0
310,310,2026-02-28,4747.25,1122.42,3624.83,0
311,311,2026-02-28,4727.83,932.9,3794.93,0
312,312,2026-02-28,6373.42,1573.08,4800.33,0
313,313,2026-02-28,6031.75,1016.67,5015.08,0
314,314,2026-02-28,6016.83,1425.16,4591.67,0
315,315,2026-02-28,8186.17,1254.55,6931.62,25
316,316,2026-02-28,5968.67,970.02,4998.65,20
317,317,2026-02-28,5852.42,1279.08,4573.33,0
318,318,2026-02-28,4612.08,890.27,3721.81,0
319,319,2026-02-28,5405.17,919.16,4486.0,0
320,320,2026-02-28,4837.25,963.38,3873.87,0
321,321,2026-02-28,5121.17,1066.21,4054.95,0
322,322,2026-02-28,5743.92,1016.1,4727.82,0
323,323,2026-02-28,3977.17,913.78,3063.39,0
324,324,2026-02-28,8329.36,1309.75,7019.61,10
325,325,2026-02-28,4093.27,733.38,3359.89,10
326,326,2026-02-28,3482.25,764.35,2717.9,0
327,327,2026-02-28,7052.04,1396.66,5655.38,10
328,328,2026-02-28,5989.5,961.27,5028.23,0
329,329,2026-02-28,5780.08,1006.92,4773.17,0
330,330,2026-02-28,5785.42,1438.64,4346.78,0
331,331,2026-02-28,4984.67,818.73,4165.94,0
332,332,2026-02-28,4423.82,667.9,3755.92,15
333,333,2026-02-28,5094.75,930.54,4164.21,0
334,334,2026-02-28,4348.2,804.69,3543.51,5
335,335,2026-02-28,6218.83,981.69,5237.14,0
336,336,2026-02-28,4816.17,913.59,3902.58,0
337,337,2026-02-28,3968.08,647.88,3320.21,0
338,338,2026-02-28,4598.25,950.71,3647.54,0
339,339,2026-02-28,5516.08,1207.73,4308.36,0
340,340,2026-02-28,4295.33,988.18,3307.15,0
341,341,2026-02-28,3972.17,675.33,3296.84,0
342,342,2026-02-28,5304.58,884.53,4420.05,0
343,343,2026-02-28,5306.17,851.41,4454.76,0
344,344,2026-02-28,4366.25,932.82,3433.43,0
345,345,2026-02-28,4617.94,1125.03,3492.91,5
346,346,2026-02-28,5290.0,820.99,4469.01,0
347,347,2026-02-28,3189.83,651.14,2538.69,0
348,348,2026-02-28,3240.67,715.88,2524.78,0
349,349,2026-02-28,4101.92,972.55,3129.36,0
350,350,2026-02-28,5620.64,1346.04,4274.6,20
351,351,2026-02-28,6146.35,1245.5,4900.85,15
352,352,2026-02-28,7164.99,1117.99,6047.0,5
353,353,2026-02-28,6072.0,1060.84,5011.16,0
354,354,2026-02-28,5250.0,1299.83,3950.17,10
355,355,2026-02-28,4976.17,914.07,4062.1,0
356,356,2026-02-28,3746.83,630.26,3116.57,0
357,357,2026-02-28,4976.83,1139.54,3837.29,0
358,358,2026-02-28,4639.17,1001.46,3637.71,0
359,359,2026-02-28,5403.33,1079.69,4323.64,0
360,360,2026-02-28,3965.92,815.14,3150.78,0
361,361,2026-02-28,5649.17,1253.66,4395.5,0
362,362,2026-02-28,6915.92,1195.38,5720.53,0
363,363,2026-02-28,4864.0,1214.22,3649.78,0
364,364,2026-02-28,5502.08,1361.65,4140.43,0
365,365,2026-02-28,6137.48,1338.11,4799.37,5
366,366,2026-02-28,4498.42,707.24,3791.18,0
367,367,2026-02-28,5280.08,808.2,4471.89,0
368,368,2026-02-28,5015.67,881.6,4134.07,0
369,369,2026-02-28,6082.47,1122.79,4959.69,20
370,370,2026-02-28,4411.82,1044.29,3367.53,10
371,371,2026-02-28,5030.58,1045.69,3984.89,0
372,372,2026-02-28,5622.42,1089.97,4532.45,0
373,373,2026-02-28,6813.92,1516.27,5297.64,0
374,374,2026-02-28,6199.08,1231.55,4967.53,0
375,375,2026-02-28,8773.02,1835.62,6937.4,15
376,376,2026-02-28,4040.75,974.78,3065.97,0
377,377,2026-02-28,6375.82,1359.04,5016.77,5
378,378,2026-02-28,5229.17,1167.73,4061.43,0
379,379,2026-02-28,7737.25,1262.38,6474.87,0
380,380,2026-02-28,4363.61,758.2,3605.41,10
381,381,2026-02-28,3950.33,976.28,2974.05,0
382,382,2026-02-28,4649.26,812.33,3836.93,10
383,383,2026-02-28,2500.0,592.69,1907.31,0
384,384,2026-02-28,4342.75,844.8,3497.95,0
385,385,2026-02-28,4051.08,816.22,3234.86,0
386,386,2026-02-28,5187.92,964.55,4223.36,0
387,387,2026-02-28,5427.17,1135.88,4291.29,0
388,388,2026-02-28,7345.17,1221.89,6123.28,0
389,389,2026-02-28,6188.0,1170.2,5017.8,0
390,390,2026-02-28,4880.54,1109.58,3770.97,15
391,391,2026-02-28,3876.92,632.28,3244.64,0
392,392,2026-02-28,5614.83,1386.76,4228.07,0
393,393,2026-02-28,3506.68,551.78,2954.91,5
394,394,2026-02-28,7630.93,1401.8,6229.13,5
395,395,2026-02-28,6474.25,1507.78,4966.47,0
396,396,2026-02-28,4620.38,978.2,3642.18,5
397,397,2026-02-28,2858.5,630.81,2227.69,0
398,398,2026-02-28,6692.33,1115.64,5576.69,0
399,399,2026-02-28,5084.41,1137.08,3947.33,5
400,400,2026-02-28,7774.86,1841.3,5933.56,20
401,401,2026-02-28,0.0,512.93,0.0,0
402,402,2026-02-28,4250.75,685.19,3565.56,0
403,403,2026-02-28,5241.18,1064.57,4176.61,5
404,404,2026-02-28,5058.67,1232.6,3826.07,0
405,405,2026-02-28,4437.42,683.07,3754.35,0
406,406,2026-02-28,5778.5,937.34,4841.16,0
407,407,2026-02-28,4009.05,804.71,3204.34,10
408,408,2026-02-28,4822.0,743.35,4078.65,0
409,409,2026-02-28,5874.6,1440.34,4434.26,15
410,410,2026-02-28,6436.55,1280.13,5156.42,15
411,411,2026-02-28,6165.57,943.32,5222.25,5
412,412,2026-02-28,3594.17,649.8,2944.37,0
413,413,2026-02-28,3082.33,679.56,2402.78,0
414,414,2026-02-28,7215.56,1150.09,6065.47,10
415,415,2026-02-28,5415.33,1176.54,4238.8,0
416,416,2026-02-28,4064.33,790.0,3274.33,0
417,417,2026-02-28,6938.92,1643.23,5295.68,0
418,418,2026-02-28,5385.74,1259.25,4126.49,5
419,419,2026-02-28,6474.08,1582.66,4891.42,0
420,420,2026-02-28,6037.65,923.99,5113.65,20
421,421,2026-02-28,8641.28,1865.55,6775.73,15
422,422,2026-02-28,7194.17,1362.48,5831.69,0
423,423,2026-02-28,4688.75,1008.66,3680.09,0
424,424,2026-02-28,6214.42,1340.97,4873.44,0
425,425,2026-02-28,5806.67,1451.33,4355.34,0
426,426,2026-02-28,6710.75,1662.37,5048.38,0
427,427,2026-02-28,3793.83,723.45,3070.38,0
428,428,2026-02-28,5857.5,1388.67,4468.83,0
429,429,2026-02-28,7508.56,1371.84,6136.72,20
430,430,2026-02-28,2801.5,607.25,2194.25,0
431,431,2026-02-28,4346.13,888.56,3457.57,25
432,432,2026-02-28,2500.0,376.44,2123.56,0
433,433,2026-02-28,4663.17,850.83,3812.33,0
434,434,2026-02-28,6449.75,1218.07,5231.68,10
435,435,2026-02-28,7200.32,1348.8,5851.52,5
436,436,2026-02-28,5092.58,879.63,4212.96,0
437,437,2026-02-28,7035.75,1479.93,5555.82,0
438,438,2026-02-28,3274.83,710.05,2564.78,0
439,439,2026-02-28,2870.75,608.45,2262.3,0
440,440,2026-02-28,4930.5,968.1,3962.4,0
441,441,2026-02-28,5480.0,1030.12,4449.88,0
442,442,2026-02-28,4959.08,1172.0,3787.09,0
443,443,2026-02-28,2500.0,504.77,1995.23,0
444,444,2026-02-28,4888.58,967.54,3921.04,0
445,445,2026-02-28,3369.33,620.38,2748.96,0
446,446,2026-02-28,5837.08,1097.49,4739.6,0
447,447,2026-02-28,5969.87,1258.39,4711.48,10
448,448,2026-02-28,3825.08,866.34,2958.75,0
449,449,2026-02-28,4357.58,1007.9,3349.68,0
450,450,2026-02-28,3675.92,815.36,2860.55,0
451,451,2026-02-28,4921.58,1208.51,3713.08,0
452,452,2026-02-28,6193.92,940.38,5253.54,0
453,453,2026-02-28,3767.83,638.94,3128.89,0
454,454,2026-02-28,5630.0,848.76,4781.24,0
455,455,2026-02-28,4337.17,931.4,3405.77,0
456,456,2026-02-28,4572.58,1113.16,3459.41,15
457,457,2026-02-28,5094.27,1011.66,4082.61,5
458,458,2026-02-28,3879.63,701.16,3178.47,5
459,459,2026-02-28,4307.92,992.12,3315.79,0
460,460,2026-02-28,3502.58,714.23,2788.35,0
461,461,2026-02-28,7455.83,1350.48,6105.35,0
462,462,2026-02-28,5044.0,1064.45,3979.55,0
463,463,2026-02-28,4125.33,914.24,3211.1,0
464,464,2026-02-28,5267.42,933.71,4333.7,0
465,465,2026-02-28,4859.58,929.91,3929.68,0
466,466,2026-02-28,4723.75,766.14,3957.61,0
467,467,2026-02-28,5767.67,969.63,4798.04,0
468,468,2026-02-28,5946.83,1297.07,4649.76,0
469,469,2026-02-28,4336.83,729.21,3607.62,0
470,470,2026-02-28,4280.17,866.8,3413.36,0
471,471,2026-02-28,4656.17,1028.57,3627.6,0
472,472,2026-02-28,2500.0,401.72,2098.28,0
473,473,2026-02-28,3106.0,642.11,2463.89,0
474,474,2026-02-28,6708.58,1178.4,5530.18,0
475,475,2026-02-28,7056.17,1737.88,5318.28,0
476,476,2026-02-28,4688.67,930.02,3758.65,0
477,477,2026-02-28,5720.67,1319.18,4401.49,0
478,478,2026-02-28,5389.0,1104.87,4284.13,0
479,479,2026-02-28,8848.58,1365.7,7482.88,0
480,480,2026-02-28,6399.42,1365.09,5034.32,0
481,481,2026-02-28,5747.6,984.01,4763.58,20
482,482,2026-02-28,3805.5,803.33,3002.17,0
483,483,2026-02-28,2991.92,571.76,2420.15,0
484,484,2026-02-28,5254.25,1229.42,4024.83,0
485,485,2026-02-28,4054.5,973.09,3081.41,0
486,486,2026-02-28,3373.21,769.27,2603.94,5
487,487,2026-02-28,4584.73,993.76,3590.96,10
488,488,2026-02-28,3648.0,582.05,3065.95,0
489,489,2026-02-28,8108.61,1813.79,6294.81,15
490,490,2026-02-28,6102.0,1441.78,4660.22,0
491,491,2026-02-28,4990.0,856.65,4133.35,0
492,492,2026-02-28,6849.92,1093.05,5756.87,0
493,493,2026-02-28,5096.67,1091.69,4004.98,0
494,494,2026-02-28,4291.15,811.42,3479.73,10
495,495,2026-02-28,6903.83,1445.99,5457.84,0
496,496,2026-02-28,5673.58,1132.88,4540.7,0
497,497,2026-02-28,3703.42,921.33,2782.09,0
498,498,2026-02-28,4762.0,779.27,3982.73,0
499,499,2026-02-28,3905.42,857.3,3048.12,0
500,500,2026-02-28,3271.5,623.0,2648.5,0
501,501,2026-02-28,5765.81,924.9,4840.91,20
